Neighborhood;geom;rate;nb;arr
Paris Pêche Poissonnerie;48.8496521,2.3761939;4.1;80;12
Poissonnerie du Dôme;48.8553539,2.29108;4.6;35;14
Poissonnerie du Bac;48.8553593,2.3239106;4.1;26;7
Poissonnerie de Passy;48.8574656,2.2422722;4;5;16
Soguisa;48.8653066,2.3448942;3.7;34;2
Poissonnerie Ledreux;48.8286597,2.3258048;3.7;90;14
Le Homard Parisien 10e;48.880686,2.3621983;4.4;48;10
Poissonnerie des Belles Feuilles;48.8673026,2.279157;4.1;28;16
Daguerre marée;48.8672973,2.2441377;4.1;87;17
LE CANOT' VENDEEN;48.8738752,2.3523127;4.8;20;10
Poissonnerie du Chateau Rouge;48.8872417,2.3482424;3.7;38;18
Poissonnerie Le Saint Pierre;48.8660382,2.3965251;4.2;74;20
Poissonnerie Domain et Fils;48.8789578,2.2942185;3.5;12;17
Labelle Poissonnerie;48.8873991,2.3493839;3.3;12;18
Daguerre Marée;48.8873779,2.2815332;3.9;155;14
Maubert Marée;48.8497339,2.3464538;3.9;15;5
Poissonnerie G.Lorenzo;48.8743422,2.3401909;3.3;35;9
Poissonnerie Vent d'Ouest;48.8458319,2.2859007;3.4;14;15
La Fine Marée;48.8818063,2.3136655;4.5;42;17
Poissonnerie Etelloise;48.8425615,2.3006994;4;23;15
Poissonnerie Blomet;48.8425615,2.3006994;4.5;13;15
Lecourbe-Marée;48.8425615,2.3006994;3.7;127;15
Poissonnerie Le Narval;48.8545869,2.2928542;4.1;16;15
Poissonnerie des Belles Feuilles;48.8673026,2.279157;4.1;28;16
Poissonnerie Jan Montparnasse;48.8518435,2.3343369;4.3;3;6
Libecciu;48.8414811,2.2860837;;;15
Poissonnerie le Phare du Ponant;48.825625,2.3442929;4.3;44;13
Les Galets d'Etretat;48.8574709,2.2751028;3.8;;16
Poissonnerie Lourmel;48.8425599,2.2853785;4.3;10;15
Poissonnerie Les Embruns SARL;48.8873655,2.332497;3.5;4;18
Les Poissonniers de Montmartre;48.8772414,2.3216782;4;38;9
Maison Vanhamme;48.8425598,2.2853785;4.7;28;16
Poissonnerie Le Saint Pierre;48.8660382,2.3812043;4.2;74;20
Poissonnerie Lemargue;48.8396834,2.3768969;;;12
Chez Simon;48.8890798,2.3023615;4.7;102;17
Paris Europe Marée;48.8425596,2.2853785;2.5;2;1
Sofaquo;48.8425596,2.2853785;;;5
La Sablaise;48.8425595,2.2853785;3.4;18;7
La Marée Beauvau;48.8488771,2.3600709;4.1;18;12
Prestige Seafood;48.8659708,2.3170436;;;1
La Nimoise;48.8945917,2.292623;4.7;13;17
Bateau à Marée (BAM);48.8598723,2.3083144;1;1;
Le Homard Parisien 17e;48.8598299,2.3083143;4.9;9;17
Marees 115;48.8597981,2.3083142;2.3;4;17
Poisson du Monde;48.8597769,2.3083142;4.5;4;18
Poissonnerie Vent d'Ouest;48.8597345,2.3083141;3.4;14;15
Chrono Pêche;48.8596708,2.308314;2.1;8;11
L' Escale Marine;48.8596814,2.308314;4.4;5;9
Maison Vanhamme;48.8596602,2.308314;4.7;28;16
Abyss;48.8596496,2.308314;3;20;12
Lafont Philippe Jacques;48.859639,2.308314;;;16
Parivic;48.8596178,2.3083139;3.9;90;18
Mancel Mickael;48.8596072,2.3083139;;;20
Vincent Jean Francois Daniel;48.8595966,2.3083139;;;13
Au Bon Port Jeanne d'Arc;48.859586,2.3083139;4;89;13
France Pelagique;48.8595648,2.3083139;2;1;16
La Calypso;48.8595118,2.3083138;3.3;3;17
Dorel & Costel Surbeck;48.8595012,2.3083137;;;20
Les Poissonniers de Montmartre;48.8594906,2.308313;4;38;9
